title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
Sungai Kerling Hydropower Plant,"The proposed project activity is being developed by Renewable Power Sdn. Bhd. (RPSB) which is a special purpose company under the Majulia Group, for the purpose of the development of the hydro power plant to be located at Sungai Kerling commune, Hulu Selangor District, Selangor Province in Peninsular Malaysia. This is the company‟s first experience of hydropower. The purpose of the project activity is to construct and operate a small scale hydro power plant generating electricity sold to the country's national grid (TNB). The total capacity of the project is 2.0 MW and the total expected annual electricity generation is expected to be 14,542 MWh per annum. Given Malaysia‟s grid emission factor, this will result emission reductions of 10,034 tCO2e per annum against the baseline scenario during the first seven year crediting period. The project‟s contribution to sustainable development can be summarised thus:",Selangor,"Renewable Power Sdn. Bhd.
Punjab Province, Pakistan",,Registered,10034,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Germanischer Lloyd Certification GmbH (GLC),06/04/2020,"2nd, 01/01/2018 - 31/12/2024",,,,,,968
Qingdao Longxin Wind Power Project Phase I,"Qingdao Longxin Wind Power Project Phase I developed by China Resources Wind Power (Qingdao) Co., Ltd., involves construction and operation of a wind power project that is sited on Liyuan Town and Dianzi Town, Pingdu City, Shandong Province, P.R. China. The Project was commenced on 08/11/2011. The Project has been registered as a CDM project on 28/09/20121 (UNFCCC registration reference number: 6697). The purpose of the Project is to install 24 wind turbines with capacity of 2000KW each and 1 wind turbine with capacity of 1800kW to generate clean renewable electricity. The electricity generated by the Project is supplied to the North China Power Grid (NCPG), displacing part of electricity generated by NCPG which is dominated by fossil fuel fired power plants.",Shangdong Province,"China Resources Wind Power (Qingdao) Co., Ltd.
Punjab Province, Pakistan",,Registered,92183,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,TUV Rheinland (China) Ltd.,02/07/2013,"2nd, 08/11/2021 - 07/11/2031",,,,,,969
Liaoning Guben Wind Power Project,"Liaoning Guben Wind Power Project developed by China Resources Wind Power (Fuxin) Co., Ltd., involves construction and operation of a wind power project that is located at the north side of Paozi Town, Fuxin Mongol Nationality Autonomous County, Fuxin City, Liaoning Province, P.R.China. The Project was commenced on 30/06/2011. The Project has been registered as a CDM project on 04/05/2012FF FF(UNFCCC registration reference number: 6063) and the starting date of the first CDM crediting period is 01/07/2012. The Project involves the installation of 33 turbines, each of which has a rated output of 1,500 kW, providing a total capacity of 49.5 MW. The annual output of the proposed project is estimated to be 104,247 MWh. The proposed project will help reduce greenhouse gas (GHG) emissions generated from the high-growth, fossil fuel-dominated power generation in Northeast China Power Grid (NECPG).","Fuxin City, Liaoning Province","China Resources Wind Power (Fuxin) Co., Ltd.",,Late to verify,96429,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,TUV Rheinland (China) Ltd.,07/02/2013,"2nd, 01/07/2019 - 30/06/2026",,,,,,970
Dak Srong 2 Hydropower Project,"The Dak Srong 2 hydropower project is being developed by Hoang Anh Gia Lai Hydropower Joint Stock Company and is the first hydropower project being set up by the company. The proposed project activity aims to construct and operate a run-of-river hydropower project. Being a run-of-river (rather than accumulation reservoir plant), it offers an environmentally friendly solution to growing energy demand. It will be located in Yang Nam, Ya Ma, and Dak Hninh Communes, Kong Chro District, Gia Lai Province in the highland area of Viet Nam and is hereafter referred to as “the project activity”. Gia Lai is located in the central mountainous region of the country, which is one of the poorest areas in Viet Nam1. The nearest habitation to the project is situated 2.5 km from the project site. The proposed project utilises water resources of the Ba River, which links to the Da Rang River and eventually to the East Sea of Viet Nam.","Kong Chro District, Gia Lai Province","Tay Nguyen Hydropower Company Limited
Gia Lai, Viet Nam",,Registered,44466,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Carbon Check (Pty) Ltd,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 30/10/2010 - 29/10/2020",,,,,,971
40 MW Grid Connected Wind Power Project,"The proposed project activity involves the capital investment for the construction, commissioning and safe operation of a 40 MW wind farm to produce zero-carbon electric power in the district of Dhule, Naharashtra, India. The construction began in the first quarter of 2007 and the project bagan commercial operation in October, 2007.",Maharashtra,Green Infra Wind Energy Limited,,Registered,70327,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 11/12/2008 - 10/12/2018",,,,,,972
Totoral Wind Farm Project,The project activity involves an onshore Wind Farm in the Coquimbo Region of Chile. The Wind Farm consists of 23 wind turbines with a total installed capacity of 46 MW. The project activity generates renewable energy for the Central Interconnected Electricity System (SIC).,"Choapa Province, IV Region of Coquimbo",Multiple Proponents,,Registered,56740,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 08/12/2009 - 07/12/2019",,,,,,973
"Sarbari II hydro power project by DSL Hydrowatt Limited in Kullu, Himachal Pradesh","The project activity is a new (2 x 2.7) 5.4 MW Sarbari II hydro power plant in the Kullu district, Himachal Pradesh, India with 25% continuous over load installed capacity. It is a run-of-the-river power project which is utilizing water from the tail race of Sarbari I SHP, The water from tail race of Sarbari I SHP is taken to an intake and is diverted through the power house to generate renewable power. The project has been constructed in the existing water bodies i.e. no water reservoir has been created for the project activity and has no negative environmental impacts. (2 x 2.7) 5.4 MW of entire renewable power is exported to Himachal Pradesh State Electricity Board (HPSEB) as per the PPA (Power Purchase Agreement) signed between PP & HPSEB on 23rd August 2010.   PP has successfully commissioned two hydro projects and it is already registered as a CDM project under UNFCCC. The Hydro power project is Sarbari-I small hydro project of DSL Hydrowatt Limited (DSLHL), Himachal Pradesh,",Himachal Pradesh,"DSL HYDROWATT PRIVATE LIMITED
Mumbai, India",,Registered,28635,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 25/08/2010 - 24/08/2020",,,,,,974
Chongqing Chengkou County Bashan Hydropower Station Project,"This project is one of CDM project which is registered on Unfccc.int. The registration number is 4750.The project locates in Bashan town of Chengkou County of Chongqing Municipality.Two water turbines with unit capacity of 70MW will be installed by the proposed project, providing total installed capacity of 140MW. Annual electricity delivered to CCPG by the proposed project is expected to be 448,920 MWh.",Chongqing Municipality,"Chongqing Bashan Hydropower Development Co., Ltd.",,Registered,382839,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),06/04/2020,"2nd, 01/07/2018 - 30/06/2025",,,,,,975
Xinjiang Huaneng Toksun Baiyanghe Phase II Wind Power project,"This project ver comes from one of pre-CDM project.The CDM registration number is 6803.The project  locates in Toksun County,Turpan Prefecture, Xinjiang Uygur Autonomous Region,China.The total installed capacity of the project is 49.5MW, consisting of 66 sets of 750 Kw turbine and generator, with a predicted electricity supply to the grid of 101,477 MWh per annum.",Xinjiang Uygur Autonomous Region,"Huaneng Turpan Wind Power Co., Ltd.",,Registered,93156,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),06/04/2020,"2nd, 26/08/2019 - 25/08/2026",,,,,,976
RMDLT Portel - Para REDD Project,"REDD Project to stop deforestation within private parcels amounting to  151,105 Ha at the edge of the deforestation frontier in Brazil. The project will generate multiple climates, social, and biodiversity benefits  This project achieved validation and verification to the CCB Standards Second Edition, Climate, and Biodiversity Gold Levels. The project completed verification to the CCB Standards on December 19, 2019.  PUBLIC COMMENT PERIOD: The project held a CCB Standards public comment period for verification, 21 October – 20 November 2019. No comments were received.",Para,"RMDLT Property Group Ltd.
Para, Brazil
www.rosewoodconservation.org","RMDLT Property Group Ltd.
Para, Brazil
www.rosewoodconservation.org",On Hold - see notification letter,553273,553273,"969,805",Agriculture Forestry and Other Land Use,REDD,VM0015,151105 Hectares,151105 Hectares,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"1st, 01/01/2009 - 31/12/2048",On Hold - see notification letter,Reduced Emissions from Deforestation and Degradation,EPIC Sustainability Services Private Limited,CCB Third Edition,04-May-2021 to 13-May-2021,977
Kaiyuan Yemin 49.5 MW Wind Power Project,"Kaiyuan Yemin 49.5 MW Wind Power Project (hereafter referred as the proposed project) is located in Yemin Town, Kaiyuan City, Liaoning Province China. It is invested, constructed and operated byKaiyuan Liaoneng Wind Power Co., Ltd.. Totally 33 sets of 1,500 kW wind turbines will be installed, with a total capacity of 49.5 MW and an average generation of 107,651 MWh annually connected intoNortheast Power Grid (NEPG). The proposed project will achieve CO2 emission reduction by replacing electricity generated by fossil fuel fired power plants connected into NEPG. The annual emissionreduction of the proposed project is estimated to be 110,668 tCO2/a.",Liaoning Province,Multiple Proponents,,Registered,110668,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,"2nd, 01/04/2018 - 31/03/2025",,,,,,980
Pacajai REDD+ Project,"REDD Project to stop deforestation within private parcels amounting to  135, 105 Ha at the edge of the deforestation frontier in Brazil. The project will generate multiple climate, social, and biodiversity benefits.","Para, micro region of Portel","Avoided Deforestation Project (Manaus) Limited (“A
Muang Sisattanak, Lao","Avoided Deforestation Project (Manaus) Limited (“A
Muang Sisattanak, Lao",On Hold - see notification letter,264116,264116,"1,348,671",Agriculture Forestry and Other Land Use,REDD,VM0015,135106 Hectares,135106 Hectares,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"1st, 01/01/2009 - 31/12/2048",On Hold - see notification letter,Reduced Emissions from Deforestation and Degradation,Det Norske Veritas Climate Change Services AS (DNV),CCB Second Edition,16-Jul-2012 to 31-Jul-2012,981
"Combined cycle natural gas based grid connected power plant at Jegurupadu, India",The purpose of the project activity is construction and operation of a new 228 MW natural gas based power plant. The electricity generated will be exported to the southern grid. The project activity once operational will help in reducing the carbon intensity and power deficit on the southern grid.,"East Godavari District, Andhra Pradesh","GVK Industries Limited
CT, United States",,Late to verify,630005,,,Energy industries (renewable/non-renewable sources),,AM0029,,,"Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)",01/03/2013,"CREDITING PERIOD HAS EXPIRED, 01/02/2012 - 31/01/2022",,,,,,982
